api_name,player_id,suggested_name,confidence,other_suggestions
Bojan Bogdanovich,202711,Bojan Bogdanovic,0.97,Bogdan Bogdanović (0.82); Boban Marjanovic (0.67)
A. Coffey,1629599,Amir Coffey,0.95,Jack Cooley (0.60); Noah Clowney (0.57)
Trayce Jackson,1641748,Andre Jackson Jr.,0.89,Frank Jackson (0.89); Jaren Jackson Jr. (0.89)
Immanuel Quickley (TOR),1630193,Immanuel Quickley,0.85,Emanuel Miller (0.59); Emmanuel Mudiay (0.58)
Kevin Devon Knox II,,Kevin Knox II,0.69,Kevin Jones (0.53); Devin Ebanks (0.52)
C. Okeke,1629643,Chuma Okeke,0.89,Chima Moneke (0.60); Royce O'Neale (0.50)
M. McBride,1630540,Miles McBride,0.93,Mikal Bridges (0.61); Miles Bridges (0.61)
Barlow Dominick,,Darko Milicic,0.57,Carlos Delfino (0.55); Baron Davis (0.54)
Russell Westbrook (LAC),201566,Russell Westbrook,0.85,Martell Webster (0.53); Rasho Nesterovic (0.46)
C. Martin,1628998,Cody Martin,0.95,KJ Martin (0.93); Caleb Martin (0.91)
Martin Kenyon Jr.,,Mario Hezonja,0.60,Kenyon Martin (0.53); Marcin Gortat (0.53)
A. Burks,202692,Alec Burks,0.93,Aaron Brooks (0.60); Armoni Brooks (0.57)
Royce O’Neale,1626220,Royce O'Neale,0.96,Gary Neal (0.64); Jermaine O'Neal (0.59)
Gregory Jackson,1641713,GG Jackson,0.95,Reggie Jackson (0.91); Aaron Jackson (0.86)
Gregory Jackson II,1641713,GG Jackson,0.71,Reggie Jackson (0.69); Aaron Jackson (0.65)
Simone Fontecchio (Det),1631323,Simone Fontecchio,0.85,Jimmer Fredette (0.47); Jaime Echenique (0.47)
Edrice Femi Adebayo,1628389,Bam Adebayo,0.75,Eric Maynor (0.60); Eric Mika (0.57)
B. Fernando,1628981,Bruno Fernando,0.95,Rudy Fernandez (0.64); Brandon Roy (0.55)
K. Caldwell-Pope,203484,Kentavious Caldwell-Pope,0.70,Caleb Love (0.54); Dylan Cardwell (0.53)
G. Antetokounmpo,203507,Giannis Antetokounmpo,0.96,Kostas Antetokounmpo (0.93); Thanasis Antetokounmpo (0.89)
S. Gilgeous-Alexander,1628983,Shai Gilgeous-Alexander,0.86,Joe Alexander (0.59); Ty-Shon Alexander (0.58)
Moe Wagner,1629021,Moritz Wagner,0.93,Franz Wagner (0.79); Maurice Ager (0.64)
Mohamed Bamba,1628964,Mo Bamba,0.91,Mohamed Diawara (0.71); Hamed Haddadi (0.62)
Marcus Morris,202721,Darius Morris,1.00,Marcus Morris Sr. (0.90); Markieff Morris (0.86)
B.J. Boston Jr,,BJ Johnson,0.58,Brandon Boston (0.57); Josh Boone (0.50)
M. Moody,1630541,Moses Moody,0.89,Matt Mooney (0.63); Adam Mokoka (0.53)
Z. Nnaji,1630192,Zeke Nnaji,0.93,Shabazz Napier (0.45); Ibou Badji (0.44)
Aleksandar Vezenkov,1628426,Sasha Vezenkov,0.88,Alexander Johnson (0.56); Jalen Duren (0.53)
Was Wizards Alternate Total,,Jared Terrell,0.45,Walter Clayton Jr. (0.44); Lamar Patterson (0.43)
Phi 76Ers Alternate Total,,Shai Gilgeous-Alexander,0.42,Chris Andersen (0.41); Diante Garrett (0.41)
R. Covington,203496,Robert Covington,0.94,Chris Livingston (0.64); Bub Carrington (0.62)
Graham Ike,,Gradey Dick,0.57,Joey Graham (0.57); Grant Riller (0.55)
Nolan Hickman,,Jon Brockman,0.64,Nolan Smith (0.58); Donovan Clingan (0.57)
Boogie Ellis,1631165,Keon Ellis,0.79,Monta Ellis (0.76); Reggie Williams (0.59)
Kobe Johnson,2207,Joe Johnson,1.02,Keon Johnson (0.98); BJ Johnson (0.97)
Morris Marcus,,Morris Peterson,0.64,Morris Almond (0.62); Norris Cole (0.58)
T. Young,1629027,Trae Young,0.93,Joe Young (0.86); Sam Young (0.86)
Ishmael Larry Smith,202536,Jerry Smith,0.82,Ish Smith (0.79); Jabari Smith Jr. (0.73)
Jevon Carter (Chi),1628975,Jevon Carter,0.80,Devin Carter (0.67); Kevon Harris (0.60)
T. Jackson-Davis,1631218,Trayce Jackson-Davis,0.78,GG Jackson (0.62); Justin Jackson (0.60)
"Xavier Tillman, Sr.",1630214,Xavier Tillman,0.85,Xavier Silas (0.71); Xavier Munford (0.61)
Yang Hansen,,Ryan Anderson,0.67,Yante Maten (0.64); Ivan Johnson (0.61)
Kasparas Jakucionis,1642857,Kasparas Jakučionis,0.95,Aaron Jackson (0.56); Andres Nocioni (0.55)
