home_team,away_team,game_date
Denver Nuggets,Los Angeles Lakers,2024-04-29
Dallas Mavericks,Los Angeles Clippers,2024-04-28
Indiana Pacers,Milwaukee Bucks,2024-04-28
Phoenix Suns,Minnesota Timberwolves,2024-04-28
Miami Heat,Boston Celtics,2024-04-29
New Orleans Pelicans,Oklahoma City Thunder,2024-04-29
Cleveland Cavaliers,Orlando Magic,2024-04-30
Los Angeles Clippers,Dallas Mavericks,2024-05-01
New York Knicks,Philadelphia 76ers,2024-04-30
Milwaukee Bucks,Indiana Pacers,2024-04-30
Boston Celtics,Miami Heat,2024-05-01
Orlando Magic,Cleveland Cavaliers,2024-05-03
Denver Nuggets,Minnesota Timberwolves,2024-05-04
Philadelphia 76ers,New York Knicks,2024-05-02
Minnesota Timberwolves,Denver Nuggets,2024-05-10
Dallas Mavericks,Los Angeles Clippers,2024-05-03
Cleveland Cavaliers,Orlando Magic,2024-05-05
Oklahoma City Thunder,Dallas Mavericks,2024-05-07
Denver Nuggets,Minnesota Timberwolves,2024-05-06
Boston Celtics,Cleveland Cavaliers,2024-05-07
New York Knicks,Indiana Pacers,2024-05-08
Oklahoma City Thunder,Dallas Mavericks,2024-05-09
Boston Celtics,Cleveland Cavaliers,2024-05-09
New York Knicks,Indiana Pacers,2024-05-14
Indiana Pacers,New York Knicks,2024-05-10
Indiana Pacers,New York Knicks,2024-05-17
Dallas Mavericks,Oklahoma City Thunder,2024-05-11
Cleveland Cavaliers,Boston Celtics,2024-05-11
Indiana Pacers,New York Knicks,2024-05-12
Cleveland Cavaliers,Boston Celtics,2024-05-13
Minnesota Timberwolves,Denver Nuggets,2024-05-12
Dallas Mavericks,Oklahoma City Thunder,2024-05-13
Denver Nuggets,Minnesota Timberwolves,2024-05-19
Denver Nuggets,Minnesota Timberwolves,2024-05-14
Boston Celtics,Cleveland Cavaliers,2024-05-15
Oklahoma City Thunder,Dallas Mavericks,2024-05-15
Minnesota Timberwolves,Denver Nuggets,2024-05-16
Dallas Mavericks,Oklahoma City Thunder,2024-05-18
New York Knicks,Indiana Pacers,2024-05-19
Boston Celtics,Indiana Pacers,2024-05-21
Minnesota Timberwolves,Dallas Mavericks,2024-05-22
Indiana Pacers,Boston Celtics,2024-05-25
Boston Celtics,Indiana Pacers,2024-05-23
Indiana Pacers,Boston Celtics,2024-05-27
Boston Celtics,Dallas Mavericks,2024-06-06
Minnesota Timberwolves,Dallas Mavericks,2024-05-24
Dallas Mavericks,Minnesota Timberwolves,2024-05-26
Boston Celtics,Dallas Mavericks,2024-06-09
Dallas Mavericks,Boston Celtics,2024-06-12
Dallas Mavericks,Minnesota Timberwolves,2024-05-28
Dallas Mavericks,Boston Celtics,2024-06-14
Minnesota Timberwolves,Dallas Mavericks,2024-05-30
Boston Celtics,Dallas Mavericks,2024-06-17
Washington Wizards,Miami Heat,2024-11-02
Oklahoma City Thunder,Houston Rockets,2024-12-14
Oklahoma City Thunder,Milwaukee Bucks,2024-12-17
Atlanta Hawks,Houston Rockets,2025-01-11
